,NLT_-1,NLT_0,NLT_1
Car_-1,0.7715109098394402,0.10934540963359407,0.11914368052696583
Car_0,0.4828365735749313,0.2105519424060098,0.30661148401905886
Car_1,0.07831460674157303,0.12,0.8016853932584269
