,Car_-1,Car_0,Car_1
SiE_-1,0.18783551273227805,0.8004301445285616,0.011734342739160358
SiE_0,0.0,0.0,0.0
SiE_1,0.02496746909564086,0.8079456733897202,0.16708685751463892
